Name,Synonym,CAS,SMILES,CID
NS8593 hydrochloride,NS8593 HCl,875755-24-1,[H]Cl.C1(N[C@@H]2CCCC3=C2C=CC=C3)=NC4=CC=CC=C4N1,
Parsaclisib,INCB050465,1426698-88-5,CCOc(c([C@H](C)n1nc(C)c2c(N)ncnc12)c1)c([C@@H](C2)CNC2=O)c(F)c1Cl,
Pimethixene,Pimetixene; Calmixen,314-03-4,CN(CC1)CCC1=C1c(cccc2)c2Sc2c1cccc2,
3CAI,,28755-03-5,O=C(CCl)c1c[nH]c2c1cccc2,
AZD9056 hydrochloride,,345303-91-5,O=C(NCC12CC3CC(C2)CC(C3)C1)C4=CC(CCCNCCCO)=CC=C4Cl.[H]Cl,
SIRT-IN-2,,1431411-66-3,CS(NCCC(CC1)CCN1c1ncnc2c1sc(C(N)=O)c2)(=O)=O,
Elimusertib hydrochloride(1876467-74-1 free base),BAY-1895344 hydrochloride,T10468,CN1N=CC=C1C2=CC(N3[C@@H](COCC3)C)=NC4=C(N=CC=C24)C5=CC=NN5.[H]Cl,
BD-AcAc 2,Ketone Ester,1208313-97-6,C[C@H](CCOC(C[C@@H](C)O)=O)O,
Bozitinib,PLB-1001; CBT-101,1440964-89-5,Cn1nc(cc(c(C(c2nnc(cc3)n2nc3-c2cn(C3CC3)nc2)(F)F)c2)F)c2c1,
VUF11207 fumarate,,1785665-61-3,C/C(CN(CCC1N(C)CCC1)C(C2=CC(OC)=C(OC)C(OC)=C2)=O)=C\C3=C(F)C=CC=C3.OC(/C=C/C(O)=O)=O,
CG347B,,1598426-03-9,CCOC(c1cnc(NC2(CC2)c2ccccc2)nc1)=O,
Incyclinide,CMT-3; COL-3,15866-90-7,NC(C(C(C[C@H](C[C@H](Cc1cccc(O)c11)C(C2=O)=C1O)[C@]21O)=O)=C1O)=O,
Tirbanibulin Mesylate,KX2-391 Mesylate; KX01 Mesylate,1080645-95-9,O=C(NCC1=CC=CC=C1)CC2=NC=C(C3=CC=C(OCCN4CCOCC4)C=C3)C=C2.OS(=O)(C)=O,
CNDAC hydrochloride,,134665-72-8,Cl.NC1=NC(=O)N(C=C1)[C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2C#N,
Poloxin,,321688-88-4,CC(C)C(C(C=C1C)=O)=C/C1=N/OC(c1c(C)cccc1)=O,
Taminadenant,,1337962-47-6,Nc1nc(-n2nccc2)nc(-n2nccc2)c1Br,
Galloflavin,,568-80-9,OC(C=C1OC(C2=CC3=O)=O)=C(O)OC1=C2C(O)=C3O,
Proflavine,"3,6-Diaminoacridine",92-62-6,Nc1cc2nc3cc(N)ccc3cc2cc1,
"Tyrphostin B44, (+) enantiomer",,133550-37-5,C[C@@H](c1ccccc1)NC(/C(/C#N)=C/c(cc1)cc(O)c1O)=O,
NNK,Nicotine-derived nitrosamine ketone,64091-91-4,CN(CCCC(c1cnccc1)=O)N=O,
Tesmilifene fumarate,DPPE fumarate,1185241-83-1,CCN(CC)CCOC1=CC=C(C=C1)CC2=CC=CC=C2.OC(/C=C/C(O)=O)=O,
ML-SA1,ML SA1; Mucolipin synthetic agonist 1,332382-54-4,CC(CC1(C)C)c(cccc2)c2N1C(CN(C(c1c2cccc1)=O)C2=O)=O,
Buformin hydrochloride,NSC 528218; NSC-528218; NSC528218,1190-53-0,CCCCN=C(N)N=C(N)N.Cl,
Hepln-13,Hepln 13; Hepln13,64369-13-7,Brc1ccc(C(N2)Nc3cccc4cccc2c34)cc1,
GS143,GS-143; GS 143; GS143,916232-21-8,OC(c(cc1)ccc1N(C1=O)N=C(Cc2ccccc2)C1=Cc1ccc(-c(cccc2)c2F)o1)=O,
Fedratinib hydrochloride hydrate,TG-101348 hydrochloride hydrate; SAR 302503 hydrochloride hydrate,1374744-69-0,O=S(C1=CC=CC(NC2=NC(NC3=CC=C(OCCN4CCCC4)C=C3)=NC=C2C)=C1)(NC(C)(C)C)=O.[H]Cl.[H]Cl.[H]O[H],
WH-4-025,,1876463-35-2,O=C(OC1=CC(C(NC2=CC=CC(C(F)(F)F)=C2)=O)=CC=C1C)N(C3=CC=C(OC)C=C3OC)C4=NC(NC5=CC=C(N6CCN(C)CC6)C=C5)=NC=C4,
CD73-IN-4,,2216764-29-1,O[C@H]1[C@H](N2N=CC3=C(NC4CCCC4)N=C(Cl)N=C32)O[C@H](COCP(O)(O)=O)[C@H]1O,
(E/Z)-GSK-3β inhibitor 1,GSK-3β inhibitor 1,3367-88-2,O=C1Nc(cccc2)c2C1=Cc1ncccc1,
CDK-IN-2,CDK inhibitor II,1269815-17-9,COc(ccc(F)c1)c1-c(cc(NC([C@H]1CNCCC1)=O)nc1)c1Cl,
Atrasentan,ABT-627; (+)-A 127722; A-147627,173937-91-2,CCCCN(CCCC)C(CN(C[C@@H]([C@H]1C(O)=O)c(cc2)cc3c2OCO3)[C@H]1c(cc1)ccc1OC)=O,
ONO-AE3-208,AE 3-208,402473-54-5,CC(C(Nc1c(CCCC(O)=O)ccc(C#N)c1)=O)c(c1ccccc11)ccc1F,
Euscaphic acid,,53155-25-2,C[C@@H]1CC[C@@]2(CC[C@]3(C)C(=CCC4[C@@]5(C)C[C@@H](O)[C@@H](O)C(C)(C)C5CC[C@@]34C)C2[C@]1(C)O)C(O)=O,
mTOR inhibitor-3,,1207358-59-5,O=C(NC1=CC=C(C2=NC(N3[C@@H](C)COCC3)=C4C(CN(C5=NC=CC=N5)CC4)=N2)C=C1)NCC,
Clobetasone butyrate,,25122-57-0,C[C@@]1(C2)[C@](C(CCl)=O)(OC(CCC)=O)[C@@H](C)C[C@@]1([H])[C@]3([H])CCC4=CC(C=C[C@]4(C)[C@@]3(F)C2=O)=O,
PROTAC ERRα ligand 1,,1264754-13-3,N#CC1=CC=C(OC2=CC=C(/C=C(SC(N3)=O)/C3=O)C=C2OC)C(C(F)(F)F)=C1,
Etripamil,MSP-2017; (-)-MSP-2017,1593673-23-4,O=C(OC)C1=CC=CC(CCN(CCC[C@](C2=CC=C(OC)C(OC)=C2)(C#N)C(C)C)C)=C1,
FF-10101,,1472797-69-5,O=C(N([C@@H](C)C(NCCCC#CC1=CN=C(NC2=CC=C(C#N)C=C2)N=C1NCCC)=O)C)/C=C/CN(C)C,
FN-1501,,1429515-59-2,O=C(C1=NNC=C1NC2=NC=NC3=C2C=CN3)NC4=CC=C(CN5CCN(C)CC5)C=C4,
Inavolisib,GDC-0077; RG6114,2060571-02-8,C[C@@H](C(N)=O)NC1=CC=C(C2=NC(N3[C@H](C(F)F)COC3=O)=CN2CCO4)C4=C1,
Talmapimod,SCIO-469,309913-83-5,O=C(N(C)C)C(C1=CN(C)C2=C1C=C(C(N3[C@H](C)CN(CC4=CC=C(F)C=C4)[C@@H](C)C3)=O)C(Cl)=C2)=O,
"ICI 118,551 hydrochloride",ICI 118551 hydrochloride,72795-01-8,CC1=C(CCC2)C2=C(OC[C@H](O)[C@@H](C)NC(C)C)C=C1.[H]Cl,
JNJ-18038683,,851376-05-1,ClC1=CC=C(C2=NN(CC3=CC=CC=C3)C4=C2CCNCC4)C=C1.O=C(CC(C(O)=O)(O)CC(O)=O)O,
MMV390048,,1314883-11-8,NC1=NC=C(C2=CC=C(S(=O)(C)=O)C=C2)C=C1C3=CC=C(C(F)(F)F)N=C3,
Pimonidazole,,70132-50-2,OC(CN1C=CN=C1[N+]([O-])=O)CN2CCCCC2,
RIPGBM,,355406-76-7,CC(N(C(C1=O)=C(NCC2=CC=CC=C2)C(C3=C1C=CC=C3)=O)CC4=CC=C(F)C=C4)=O,
TAK-593,,1005780-62-0,O=C(C1=CC(C)=NN1C)NC2=CC(OC3=NN4C(C=C3)=NC(NC(C5CC5)=O)=C4)=CC=C2C,
PF 05089771,PF-05089771; PF 05089771; PF05089771; PF-05089771; PF05089771; PF 05089771,1235403-62-9,O=S(C1=CC(Cl)=C(OC2=CC=C(Cl)C=C2C3=C(N)NN=C3)C=C1F)(NC4=CSC=N4)=O,
KA2507,,1636894-46-6,O=C(NO)C1=CC=C(CN(C2=NC=CN=C2)C3=NC=CN=C3)C=C1,
RAD51-IN-1,RAD5-IN-1,2101739-18-6,O=C1N(CC2=CC=C(Cl)C=C2)C(/C=C/C3=CC=CN=C3)=NC4=C1C=CC=C4,
DDO-5936,,2355377-13-6,O=C(O)CN(C1=CC=C(NC2=NC(N3CCCC3)=NC=C2)C=C1)S(=O)(C4=C(C)C=C(C)C=C4C)=O,
Sulfopin,PIN1-3,2451481-08-4,O=C(N(CC(C)(C)C)C(CC1)CS1(=O)=O)CCl,
DUB-IN-2,,924296-19-5,N#CC1=C(C#N)N=C2C(/C(C3=C2C=CC=C3)=N/OCC)=N1,
Imrecoxib,BAP-909,395683-14-4,O=C1N(CCC)CC(C2=CC=C(S(=O)(C)=O)C=C2)=C1C3=CC=C(C)C=C3,
Mefentrifluconazole,,1417782-03-6,OC(C)(C1=CC=C(OC2=CC=C(Cl)C=C2)C=C1C(F)(F)F)CN3N=CN=C3,
TP-353,EOS-61973,1253799-29-9,O=C(OC1=CC=CC=C1)C2=C(C)C(F)=CC(N(CC3=CC=CC=C3)CC4=CC=CC=C4)=C2OCC5=CC=CC=C5,
Ketorolac, RS37619; Toradol; Acular; Sprix; Macril; Acuvail,74103-06-3,O=C(C1C2=CC=C(C(C3=CC=CC=C3)=O)N2CC1)O,
Colcemid,Demecolcine; Colcemid; C-12669; C 12669; C12669; Kolchicin; NSC-3096,477-30-5,O=C1C=C2[C@@H](NC)CCC3=CC(OC)=C(OC)C(OC)=C3C2=CC=C1OC,
CIM0216,"N-(5-methyl-1,2-oxazol-3-yl)-2-phenyl-2-(1,2,3,4-tetrahydroquinolin-1-yl)acetamide",1031496-06-6,O=C(NC1=NOC(C)=C1)C(C2=CC=CC=C2)N3CCCC4=C3C=CC=C4,
σ1 Receptor antagonist-1,"σ1 Receptor antagonist-1 ; 4H-1-Benzothiopyran-4-one, 2,3-dihydro-2-[1-(phenylMethyl)-4-piperidinyl]-",1204401-49-9,O=C1CC(C2CCN(CC3=CC=CC=C3)CC2)SC4=CC=CC=C14,
CDC25B-IN-2,BIA,134271-74-2,O=C(C1=CC=CC=C1N)/C=C/C2=CC=CC([N+]([O-])=O)=C2,
Dexketoprofen trometamol,,156604-79-4,O=C(C1=CC=CC([C@H](C)C(O)=O)=C1)C2=CC=CC=C2.OCC(CO)(CO)N,
JNJ-63576253,JNJ63576253; TRC-253,2110428-64-1,N#CC1=NC=C(N(C2=O)C(N(C3=CC=C(OC4CCNCC4)N=C3)C52CCC5)=S)C=C1C(F)(F)F.[H]Cl,
SBC-115337,,423148-46-3,O=C(C1=CC2=CC=CC=C2O1)NC3=CC=C(C(NC4=CC=C(C5=NC6=CC=CC=C6O5)C=C4)=O)C=C3,
Xaliproden hydrochloride,SR57746A; SR57746 hydrochloride; xaliprodene; Xaprila,90494-79-4,FC(C1=CC(C2=CCN(CCC3=CC=C4C=CC=CC4=C3)CC2)=CC=C1)(F)F.[H]Cl,
Clomethiazole,Chlormethiazole; 5-(2-CHLOROETHYL)-4-METHYLTHIAZOLE; Distraneurin,533-45-9,Cc1c(CCCl)scn1,
Dotinurad,"(3,5-dichloro-4-hydroxyphenyl)(1,1-dioxidobenzo[d]thiazol-3(2H)-yl)methanone",1285572-51-1,Oc(c(Cl)cc(C(N(C1)c(cccc2)c2S1(=O)=O)=O)c1)c1Cl,
Pamufetinib,TAS-115; H2OL3Q4XRD; 4-(2-Fluoro-4-(3-(2-phenylacetyl)thioureido)phenoxy)-7-methoxy-N-methylquinoline-6-carboxamide; pamufetinib,1190836-34-0,CNC(c(cc1c(Oc(ccc(NC(NC(Cc2ccccc2)=O)=S)c2)c2F)ccnc1c1)c1OC)=O,
NS13001,"N-(4-chlorophenyl)-2-(3,5-dimethylpyrazol-1-yl)-9-methylpurin-6-amine; N-(4-Chlorophenyl)-2-(3,5-dimethyl-1H-pyrazol-1-yl)-9-methyl-9H-purin-6-amine",1063331-94-1,Cc1cc(C)nn1-c(nc1Nc(cc2)ccc2Cl)nc2c1ncn2C,
Prazosin,Furazosin; Prazosine; Prazocin,19216-56-9,COc(cc1c(N)nc(N(CC2)CCN2C(c2ccco2)=O)nc1c1)c1OC,
Caspase-3 Inhibitor I,Ac-DEVD-CHO acetate (169332-60-9 free base); N-acetyl-asp-glu-val-asp-al,TQ0146L,CC(O)=O.CC(C)[C@@H](C(NC([C@H](CCC(O)=O)NC([C@H](CC(O)=O)N)=O)=O)=O)N(C(C)=O)[C@H](C=O)CC(O)=O,
Zegocractin,"CM4620; N-(5-(6-Chloro-2,2-difluorobenzo[d][1,3]dioxol-5-yl)pyrazin-2-yl)-2-fluoro-6-methylbenzamide",1713240-67-5,Cc1cccc(F)c1C(Nc(nc1)cnc1-c(cc(c(O1)c2)OC1(F)F)c2Cl)=O,
Chrysotoxine,"4-[2-(3,4-Dimethoxyphenyl)ethyl]-2,6-dimethoxyphenol; Phenol, 4-[2-(3,4-dimethoxyphenyl)ethyl]-2,6-dimethoxy-",156951-82-5,COc(ccc(CCc(cc1OC)cc(OC)c1O)c1)c1OC,
Diethylmaleate,"DIETHYL MALEATE; Maleic acid, diethyl ester; Diethylmaleate",141-05-9,O=C(OCC)/C=C\C(OCC)=O,
(S)-Sunvozertinib,DZD9008; N-[5-[[4-[5-Chloro-4-fluoro-2-(2-hydroxypropan-2-yl)anilino]pyrimidin-2-yl]amino]-2-[(3S)-3-(dimethylamino)pyrrolidin-1-yl]-4-methoxyphenyl]prop-2-enamide,2370013-49-1,CC(C)(c(c(Nc1nc(Nc(cc(c(N(CC2)C[C@H]2N(C)C)c2)NC(C=C)=O)c2OC)ncc1)c1)cc(F)c1Cl)O,
AZD-5597,(S)-(4-((5-Fluoro-4-(1-isopropyl-2-methyl-1H-imidazol-5-yl)pyrimidin-2-yl)amino)phenyl)(3-(methylamino)pyrrolidin-1-yl)methanone,924641-59-8,CC(C)n1c(-c(nc(Nc(cc2)ccc2C(N(CC2)C[C@H]2NC)=O)nc2)c2F)cnc1C,
Gartanin,,33390-42-0,CC(C)=CCc(c(O)c(CC=C(C)C)c(Oc1c2c(O)ccc1O)c1C2=O)c1O,
Reparixin L-lysine salt,Repertaxin L-lysine salt,266359-93-7,N[C@@H](CCCCN)C(O)=O.O=C(NS(=O)(C)=O)[C@@H](C)C1=CC=C(CC(C)C)C=C1,
DM4,Ravtansine,796073-69-3,CO[C@@H]1/C=C/C=C(Cc2cc(N(C(C[C@@H]([C@@]3(O[C@H]3[C@@H]([C@@H]4C[C@]1(NC(O4)=O)O)C)C)OC([C@@H](N(C(CCC(C)(S)C)=O)C)C)=O)=O)C)c(Cl)c(OC)c2)\C,
EN6,,1808714-73-9,C=CC(Nc(cc(cc1)NC(c2cn(-c(cccc3)c3F)nc2)=O)c1F)=O,
JNJ-64619178,,2086772-26-9,Nc1c(ccn2[C@H](C[C@H](CCc3ccc(cc(c(N)n4)Br)c4c3)[C@H]3O)[C@@H]3O)c2ncn1,
Pico145,HC-608,1628287-16-0,CN(c1c(C(N2CCCO)=O)n(Cc(cc3)ccc3Cl)c(Oc3cc(OC(F)(F)F)ccc3)n1)C2=O,
Midodrine,(±)-Midodrin,42794-76-3,COc(cc1)cc(C(CNC(CN)=O)O)c1OC,
Trazodone,Desyrel,19794-93-5,O=C1N(C=CC=C2)C2=NN1CCCN(CC1)CCN1c1cccc(Cl)c1,
N-trans-Sinapoyltyramine,,200125-11-7,COc1cc(/C=C/C(NCCc(cc2)ccc2O)=O)cc(OC)c1O,
Tetramethylkaempferol,,16692-52-7,COc(cc1)ccc1C(Oc(cc(cc1OC)OC)c1C1=O)=C1OC,
CyPPA,,73029-73-9,Cc1cc(C)nn1-c1nc(NC2CCCCC2)cc(C)n1,
Chlorothymol,4-Chloro-2-isopropyl-5-methylphenol,89-68-9,CC(C)c1cc(Cl)c(C)cc1O,
WAY-169916,,669764-18-5,C=CCn(c1c(C(F)(F)F)cccc11)nc1-c(ccc(O)c1)c1O,
SYR127063,BDBM92454,871026-18-5,OCCOCCn(cc1)c2c1ncnc2Nc(cc1)cc(Cl)c1Oc1cc(C(F)(F)F)ccc1,
Hydroxychloroquine,,118-42-3,CCN(CCCC(C)Nc1c(ccc(Cl)c2)c2ncc1)CCO,
YK-3-237,,1215281-19-8,COc1c(B(O)O)cc(/C=C/C(c(cc2OC)cc(OC)c2OC)=O)cc1,
Necroptosis-IN-1,,1391980-92-9,O=C(C(Cc(c1ccc2)c[nH]c1c2Cl)N1)NC1=O,
Guanabenz hydrochloride,NE56490,23113-43-1,ClC1=C(C=NNC(N)=N)C(Cl)=CC=C1.[H]Cl,
Suberoyl bis-hydroxamic acid,SBHA; Suberohydroxamic acid; Suberoyl bis-hydroxamic acid,38937-66-5,ONC(CCCCCCC(NO)=O)=O,
Amitriptyline,,50-48-6,CN(C)CCC=C(c1c(CC2)cccc1)c1c2cccc1,
Ambazone,Ambazon; Primal,539-21-9,NC(NN=C(C=C1)C=CC1=NNC=NN)=S,
Palvanil,Hexadecanamide,69693-13-6,CCCCCCCCCCCCCCCC(NCc(cc1)cc(OC)c1O)=O,
Arnicolide D,,34532-68-8,C[C@@H]([C@H]([C@@H](C[C@@H](C)[C@@H]([C@@]12C)C=CC1=O)O1)[C@@H]2OC(C(C)=C)=O)C1=O,
(-)-Bornyl acetate,L-(-)-Bornyl acetate,5655-61-8,CC(C)([C@@H](CC1)C2)[C@@]1(C)[C@@H]2OC(C)=O,
Niraparib (R-enantiomer),Niraparib R-enantiomer; MK 4827 (R-enantiomer),1038915-58-0,O=C(C1=CC=CC2=CN(C3=CC=C([C@@H]4CNCCC4)C=C3)N=C12)N,
MKC9989,,1338934-20-5,O=CC1=C(O2)C(C(C)=C(CCOCCOC)C2=O)=CC(OC)=C1O,
NS19504,,327062-46-4,NC1=NC=C(S1)CC2=CC=C(Br)C=C2,
Pivagabine,CXB-722,69542-93-4,O=C(O)CCCNC(C(C)(C)C)=O,
1-Methylxanthine,,6136-37-4,O=C(N1C)NC2=C(N=CN2)C1=O,
4-Methylamino antipyrine,,519-98-2,O=C1N(C2=CC=CC=C2)N(C)C(C)=C1NC,
DFP00173,,672286-03-2,O=C(NC1=CSC([N+]([O-])=O)=C1)NC2=C(Cl)C=CC=C2Cl,
DUB-IN-1,,924296-18-4,N#CC1=C(C#N)N=C2C(/C(C3=C2C=CC=C3)=N/OCC4=CC=CC=C4)=N1,
DUB-IN-3,,924296-17-3,C=CCO/N=C1C2=C(N=C(C#N)C(C#N)=N2)C3=CC=CC=C/13,
AG 1295,,71897-07-9,CC1=C(C)C=C2N=CC(C3=CC=CC=C3)=NC2=C1,
AR antagonist 1,,1818885-54-9,N#CC1=CC=C(O[C@H]2C(C)(C)[C@H](N)C2(C)C)C=C1Cl,
AZ7550,,1421373-99-0,C=CC(NC1=CC(NC2=NC=CC(C3=CN(C)C4=C3C=CC=C4)=N2)=C(OC)C=C1N(C)CCNC)=O,
CMP8,,851107-28-3,O=C1CCC2(CC3=CC=C(Cl)C=C3)CC4=C(C=CC(O)=C4)C2=C1C5=CC=C(OCCN6CCCCC6)C=C5,
DREADD agonist 21,,56296-18-5,C12=CC=CC=C1NC3=CC=CC=C3C(N4CCNCC4)=N2,
Azosemide,,27589-33-9,ClC1=CC(NCC2=CC=CS2)=C(C3=NN=NN3)C=C1S(N)(=O)=O,
BRD-6929,,849234-64-6,O=C(NC1=CC(C2=CC=CS2)=CC=C1N)C3=CC=C(NC(C)=O)C=C3,
N-Desmethyl imatinib,Norimatinib; Imatinib metabolite N-Desmethyl imatinib,404844-02-6,O=C(NC1=CC=C(C)C(NC2=NC(C3=CC=CN=C3)=CC=N2)=C1)C4=CC=C(CN5CCNCC5)C=C4,
EHP-101,VCE-004.8,1818428-24-8,O=C1C(O)=C([C@@H]2C=C(C)CC[C@H]2C(C)=C)C(C(NCC3=CC=CC=C3)=C1CCCCC)=O,
Vimseltinib,DCC-3014,1628606-05-2,O=C1N(C)C(NC(C)C)=NC=C1C2=NC(C)=C(OC3=CC(C4=CN(C)N=C4)=NC=C3)C=C2,
GSK-626616,,1025821-33-3,O=C1N=C(NC2=C(Cl)C=CC=C2Cl)S/C1=C\C3=CC=C4N=CC=NC4=C3,
7-Ethoxyresorufin,Resorufin ethyl ether,5725-91-7,CCOc(cc1)cc(O2)c1N=C(C=C1)C2=CC1=O,
Talinolol,(±)-Talinolol,57460-41-0,CC(C)(C)NCC(COc(cc1)ccc1NC(NC1CCCCC1)=O)O,
(E/Z)-GO289,,694522-87-7,COc(c(O)c1)cc(C=Nn2c(SC)nnc2-c2ccccc2)c1Br,
NSC 66811,,6964-62-1,Cc1ccc(ccc(C(c2ccccc2)Nc2ccccc2)c2O)c2n1,
Cefpodoxime (free acid),,80210-62-4,COCC(CS[C@@H]1[C@@H]2NC(/C(/c3csc(N)n3)=N\OC)=O)=C(C(O)=O)N1C2=O,
Thalidomide 4-fluoride,E3 ligase Ligand 4,835616-60-9,O=C(c1cccc(F)c11)N(C(CCC(N2)=O)C2=O)C1=O,
Uniconazole,,83657-22-1,CC(C)(C)C(/C(/n1ncnc1)=C\c(cc1)ccc1Cl)O,
2-hexyl-4-Pentynoic Acid,,96017-59-3,CCCCCCC(CC#C)C(O)=O,
Glabrone,,60008-02-8,CC(C)(C=C1)Oc(cc2)c1c(O)c2C1=COc(cc(cc2)O)c2C1=O,
JW74,,863405-60-1,CC1=CC=C(C2=NOC(CSC3=NN=C(C4=CC=NC=C4)N3C5=CC=C(OC)C=C5)=N2)C=C1,
YQ128,,2454246-18-3,O=S(C1=CC=C(CCN(CC2=C(C=CC(Cl)=C2)OCCC)C(CC3=CSC=C3)=O)C=C1)(NCC#C)=O,
P110δ-IN-1,ME-401; P110δ-IN-1; PWT-143,1595129-71-7,O=S(C1=NC2=CC=CC=C2N1C3=NC(N4CCOCC4)=NC(NC(C)(C)CC5=CC=CC=C5C6CCN(C)CC6)=N3)(C)=O,
L002,,321695-57-2,O=C1C(C)=C/C(C=C1C)=N\OS(=O)(C2=CC=C(OC)C=C2)=O,
(RS)-(Tetrazol-5-yl)glycine,"D,L-(tetrazol-5-yl)glycine; LY 285265",138199-51-6,O=C(O)C(N)C1=NNN=N1,
MAP4K4-IN-3,Compound 17,1811510-58-3,NC1=NC=C(C2=CC(C3=CC=C(Cl)C=C3)=C(N)N=C2)C=N1,
TVB-3166,,1533438-83-3,CC1=CC(C)=C(C(=O)N2CC(C3=CC=C(C#N)C=C3)C2)C=C1C1=NNC(C)=C1C,
SR18662,,T22429,ClC1=C(Cl)C=C(/C=C/C(NCC(N2CCN(S(=O)(C)=O)CC2)=O)=O)C=C1,
(E)-Ferulic acid methyl ester,Methyl (E)-ferulate; Methyl (E)-ferulate,22329-76-6,COC(/C=C/c(cc1)cc(OC)c1O)=O,
Cichoriin,,531-58-8,OC[C@H]([C@H]([C@@H]([C@H]1O)O)O)O[C@H]1Oc1cc(OC(C=C2)=O)c2cc1O,
Memantine,,19982-08-2,C1[C@@]2(CC3(CC(C2)C[C@@]1(C3)C)N)C,
SHP099,SHP099 free base; SHP099; SHP-099; SHP 099,1801747-42-1,NC1=NC(N2CCC(C)(N)CC2)=CN=C1C3=CC=CC(Cl)=C3Cl,
SR 16832,SR-16832; SR16832,2088135-12-8,O=C(NC1=CC=NC2=CC=C(OC)C=C12)C3=CC([N+]([O-])=O)=CC=C3Cl,
Ellagic Acid Dihydrate,,133039-73-3,O=C1C2=CC(O)=C(O)C(O3)=C2C4=C(C3=O)C=C(O)C(O)=C4O1.[H]O[H].[H]O[H],
Misonidazole,,13551-87-6,COCC(Cn1c([N+]([O-])=O)ncc1)O,
Harman hydrochloride,Harmane hydrochloride(486-84-0 Free base),21655-84-5,Cc1nccc2c1[nH]c1c2cccc1.Cl,
AG-270,,2201056-66-6,COc(cc1)ccc1C(C(n1nc2-c3ccccc3)=O)=C(Nc3ncccc3)Nc1c2C1=CCCCC1,
Lansoprazole sodium,Lansoprazole (sodium);  AG-1749 sodium,226904-00-3,O=S(C1=NC2=CC=CC=C2[N-]1)CC3=NC=CC(OCC(F)(F)F)=C3C.[Na+],
AZ 11645373,"3-[1-[[(3'-NITRO[1,1'-BIPHENYL]-4-YL)OXY]METHYL]-3-(4-PYRIDINYL)PROPYL]-2,4-THIAZOLIDINEDIONE",227088-94-0,[O-][N+](c1cccc(-c(cc2)ccc2OCC(CCc2ccncc2)N(C(CS2)=O)C2=O)c1)=O,
zapnometinib,"2-(2-chloro-4-iodoanilino)-3,4-difluorobenzoic acid; PD0184264; ATR-002",303175-44-2,OC(c(c(Nc(ccc(I)c1)c1Cl)c1F)ccc1F)=O,
Dimebolin,Latrepirdine; Dimebon; Dimebone,3613-73-8,Cc(cc1)cc2c1n(CCc1cnc(C)cc1)c1c2CN(C)CC1,
(S)-Flurbiprofen,Esflurbiprofen; esflurbiprofen; (S)-Flurbiprofen,51543-39-6,C[C@H](C(O)=O)c(cc1)cc(F)c1-c1ccccc1,
Guanidinoethyl sulfonate,Taurocyamine,543-18-0,NN=CNCCS(O)(=O)=O,
CRAC intermediate 2,,123066-64-8,NC1=CC=C(N2N=C(C(F)(F)F)C=C2C(F)(F)F)C=C1,
JP1302 dihydrochloride,,1259314-65-2,CN1CCN(C2=CC=C(NC3=C(C=CC=C4)C4=NC5=CC=CC=C53)C=C2)CC1.[H]Cl.[H]Cl,
MS4078,,2229036-62-6,CC(C)S(C1=C(NC2=NC(NC3=C(OC(C)C)C=C(C4CCN(CC(NCCNC5=C(C(N(C6C(NC(CC6)=O)=O)C7=O)=O)C7=CC=C5)=O)CC4)C(C)=C3)=NC=C2Cl)C=CC=C1)(=O)=O,
Nitroaspirin,NCX 4016,175033-36-0,O=C(OC1=CC=CC(CO[N+]([O-])=O)=C1)C2=CC=CC=C2OC(C)=O,
Propyl pyrazole triol,PPT,263717-53-9,CCCC1=C(C2=CC=C(O)C=C2)N(C3=CC=C(O)C=C3)N=C1C4=CC=C(O)C=C4,
Risdiplam,RG7916; RO7034067,1825352-65-5,O=C(C=C(C(C=C1C)=NN2C1=NC(C)=C2)N=C3C=C4)N3C=C4N(CCN5)CC65CC6,
Telratolimod,MEDI9197; 3M-052,1359993-59-1,NC1=NC2=CC=CC=C2C3=C1N=C(CCCC)N3OCCCCNC(CCCCCCCCCCCCCCCCC)=O,
L-838417 D9,CTP354; C-21191,1213669-91-0,CN1N=CN=C1COC2=NN3C(C=C2C(C([2H])([2H])[2H])(C([2H])([2H])[2H])C([2H])([2H])[2H])=NN=C3C4=CC(F)=CC=C4F,
Diclofenac Epolamine,DHEP; DIEP; diclofenac hydroxyethylpyrrolidine,119623-66-4,OCCN1CCCC1.OC(=O)CC2=C(NC3=C(Cl)C=CC=C3Cl)C=CC=C2,
Fenamic acid,N-Phenylanthranilic acid; 2-(Phenylamino)benzoic acid; 2-Anilinobenzoic acid; Diphenylamine-2-carboxylic acid,91-40-7,OC(=O)C1=C(NC2=CC=CC=C2)C=CC=C1,
Isonipecotic acid,4-Piperidinecarboxylic acid; 4-Carboxypiperidine; Hexahydroisonicotinic acid,498-94-2,OC(=O)C1CCNCC1,
Lanthanum(III) chloride heptahydrate,,10025-84-0,O.O.O.O.O.O.O.Cl[La](Cl)Cl,
MDR-652,,1933528-96-1,CC(C)(C)c1nc(-c2cccc(Cl)c2)c(CNC(Nc2cc(F)c(CO)cc2)=O)s1,
Phenidone,1-phenyl-3-pyrazolidinone,92-43-3,O=C1CCN(N1)C2=CC=CC=C2,
1-(4-Chloro-3-(trifluoromethyl)phenyl)-3-(4-(4-cyanophenoxy)phenyl)urea,SC-1,1313019-65-6,N#Cc(cc1)ccc1Oc(cc1)ccc1NC(Nc(cc1)cc(C(F)(F)F)c1Cl)=O,
